001-SG-02.bin.1.152	NA	NA
001-SG-02.bin.1.170	NA	NA
001-SG-02.bin.1.230	FLASV52956.1324;tax=d:Bacteria,p:Bdellovibrionota,c:Bdellovibrionia,o:Bdellovibrionales,f:Bdellovibrionaceae,g:Bdellovibrio,s:midas_s_52956;	98.3
001-SG-02.bin.1.233	NA	NA
001-SG-02.bin.1.507	NA	NA
001-SG-02.bin.1.511	NA	NA
001-SG-02.bin.1.598	FLASV3357.1448;tax=d:Bacteria,p:Actinobacteriota,c:Actinobacteria,o:midas_o_5,f:midas_f_5,g:midas_g_399,s:midas_s_1163;	99.7
001-SG-02.bin.1.67	NA	NA
001-SG-02.bin.1.97	NA	NA
001-SG-02.bin.1.99	NA	NA
001-SG-02.bin.2.100	FLASV27071.1320;tax=d:Bacteria,p:Acidobacteriota,c:Acidobacteriae,o:Bryobacterales,f:Bryobacteraceae,g:Bryobacter,s:midas_s_25364;	100
001-SG-02.bin.2.104	FLASV9601.1479;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Defluviicoccales,f:Defluviicoccaceae,g:Defluviicoccus,s:Ca_Defluviicoccus_seviourii;	99.9
001-SG-02.bin.2.105	FLASV87806.1335;tax=d:Bacteria,p:Planctomycetota,c:Planctomycetes,o:Gemmatales,f:Gemmataceae,g:Gemmata,s:midas_s_87806;	95.4
001-SG-02.bin.2.106	FLASV28773.1377;tax=d:Bacteria,p:Myxococcota,c:Polyangia,o:Polyangiales,f:Polyangiaceae,g:Pajaroellobacter,s:midas_s_28773;	99.9
001-SG-02.bin.2.109	FLASV3206.1443;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Burkholderiales,f:Rhodocyclaceae,g:Uliginosibacterium,s:midas_s_53;	99.9
001-SG-02.bin.2.110	NA	NA
001-SG-02.bin.2.111	FLASV33593.1309;tax=d:Bacteria,p:Planctomycetota,c:Phycisphaerae,o:Phycisphaerales,f:Phycisphaeraceae,g:midas_g_33593,s:midas_s_33593;	98.9
001-SG-02.bin.2.112	FLASV1626.1462;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Burkholderiales,f:Rhodocyclaceae,g:Sulfuritalea,s:midas_s_1127;	99.2
001-SG-02.bin.2.113	FLASV24686.1354;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Sphingobacteriales,f:NS11-12_marine_group,g:midas_g_8083,s:midas_s_24686;	99.9
001-SG-02.bin.2.114	FLASV3450.1399;tax=d:Bacteria,p:Chloroflexi,c:Chloroflexia,o:Chloroflexales,f:Roseiflexaceae,g:Kouleothrix,s:midas_s_3450;	97.4
001-SG-02.bin.2.115	FLASV115851.1368;tax=d:Bacteria,p:Planctomycetota,c:Planctomycetes,o:Gemmatales,f:Gemmataceae,g:midas_g_71669,s:midas_s_115851;	100
001-SG-02.bin.2.116	FLASV3547.1389;tax=d:Bacteria,p:Patescibacteria,c:Saccharimonadia,o:Saccharimonadales,f:midas_f_728,g:midas_g_3547,s:midas_s_3547;	100
001-SG-02.bin.2.117	NA	NA
001-SG-02.bin.2.118	FLASV7923.1401;tax=d:Bacteria,p:Planctomycetota,c:Phycisphaerae,o:Phycisphaerales,f:Phycisphaeraceae,g:SM1A02,s:midas_s_7923;	99.4
001-SG-02.bin.2.119	FLASV72017.1359;tax=d:Bacteria,p:Patescibacteria,c:Gracilibacteria,o:midas_o_1258,f:midas_f_24809,g:midas_g_24809,s:midas_s_24809;	98.1
001-SG-02.bin.2.120	FLASV8640.1460;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:midas_o_26,f:midas_f_98,g:midas_g_8640,s:midas_s_8640;	97.7
001-SG-02.bin.2.121	FLASV45395.1358;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,g:Undibacterium,s:midas_s_39642;	100
001-SG-02.bin.2.123	FLASV22702.1384;tax=d:Bacteria,p:Planctomycetota,c:Phycisphaerae,o:mle1-8,f:midas_f_1686,g:midas_g_22702,s:midas_s_22702;	99.9
001-SG-02.bin.2.126	NA	NA
001-SG-02.bin.2.127	FLASV1389.1486;tax=d:Bacteria,p:Desulfobacterota,c:midas_c_41,o:midas_o_41,f:midas_f_1389,g:midas_g_1389,s:midas_s_1389;	99.3
001-SG-02.bin.2.128	FLASV23671.1344;tax=d:Bacteria,p:Actinobacteriota,c:Acidimicrobiia,o:Microtrichales,f:Iamiaceae,g:Iamia,s:midas_s_23671;	100
001-SG-02.bin.2.129	FLASV10439.1324;tax=d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Ardenticatenales,f:Ca_Promineofilaceae,g:Ca_Promineofilum,s:midas_s_10439;	99.4
001-SG-02.bin.2.13	FLASV74671.1298;tax=d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:midas_o_11143,f:midas_f_11143,g:midas_g_28602,s:midas_s_74671;	93.9
