genome_id	contig_id	region_id	gene_id	location	product	Query	e-value	bitscore	pfam_hit
GCF_009827655.1_ASM982765v1_genomic	NZ_WTYV01000004.1	region001	ctg17_254	[328:1741](-)	sphingomonadaceae_eps				PF19305.2 (MmgE/PrpD C-terminal domain): [285:449] (score: 93.1, e-value: 1.80E-26)
GCF_009827655.1_ASM982765v1_genomic	NZ_WTYV01000004.1	region001	ctg17_254	[328:1741](-)	sphingomonadaceae_eps				PF03972.17 (MmgE/PrpD N-terminal domain): [15:245] (score: 202.1, e-value: 9.20E-60)
GCF_009827655.1_ASM982765v1_genomic	NZ_WTYV01000004.1	region001	ctg17_255	[1777:2512](-)	sphingomonadaceae_eps				PF00106.28 (short chain dehydrogenase): [11:200] (score: 62.9, e-value: 3.00E-17)
GCF_009827655.1_ASM982765v1_genomic	NZ_WTYV01000004.1	region001	ctg17_256	[2675:3455](+)	sphingomonadaceae_eps				PF13085.9 (2Fe-2S iron-sulfur cluster binding domain): [28:133] (score: 117.2, e-value: 3.50E-34)
GCF_009827655.1_ASM982765v1_genomic	NZ_WTYV01000004.1	region001	ctg17_256	[2675:3455](+)	sphingomonadaceae_eps				PF13534.9 (4Fe-4S dicluster domain): [169:242] (score: 39.4, e-value: 7.00E-10)
GCF_009827655.1_ASM982765v1_genomic	NZ_WTYV01000004.1	region001	ctg17_257	[3460:3892](+)	sphingomonadaceae_eps				PF04828.17 (Glutathione-dependent formaldehyde-activating enzyme): [29:121] (score: 71.9, e-value: 4.60E-20)
GCF_009827655.1_ASM982765v1_genomic	NZ_WTYV01000004.1	region001	ctg17_258	[3888:5004](+)	sphingomonadaceae_eps				PF03969.19 (AFG1-like ATPase): [5:364] (score: 362.5, e-value: 2.30E-108)
GCF_009827655.1_ASM982765v1_genomic	NZ_WTYV01000004.1	region001	ctg17_259	[5000:6899](-)	sphingomonadaceae_eps	asnH_zooglan	7e-246	811.8	PF00733.24 (Asparagine synthase): [242:622] (score: 322.4, e-value: 5.60E-96)
GCF_009827655.1_ASM982765v1_genomic	NZ_WTYV01000004.1	region001	ctg17_259	[5000:6899](-)	sphingomonadaceae_eps	asnH_zooglan	7e-246	811.8	PF13537.9 (Glutamine amidotransferase domain): [47:168] (score: 159.8, e-value: 2.80E-47)
GCF_009827655.1_ASM982765v1_genomic	NZ_WTYV01000004.1	region001	ctg17_259	[5000:6899](-)	sphingomonadaceae_eps	sphingL_sphingomonadaceae	0.0	1146.5	PF00733.24 (Asparagine synthase): [242:622] (score: 322.4, e-value: 5.60E-96)
GCF_009827655.1_ASM982765v1_genomic	NZ_WTYV01000004.1	region001	ctg17_259	[5000:6899](-)	sphingomonadaceae_eps	sphingL_sphingomonadaceae	0.0	1146.5	PF13537.9 (Glutamine amidotransferase domain): [47:168] (score: 159.8, e-value: 2.80E-47)
